parcel,bedrooms,bathrooms,living_area,total_value,half_baths,purchase_date,construction_quality,condition_score,garage_type,finished_basement,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71201054,3,1,1301,116400,0,1941,C+ / AVERAGE+,GOOD,ATTACHED,No,8800.0,44124,79,140980.0,210119.99999999997
71201055,4,1,1485,122800,0,1950,C+ / AVERAGE+,GOOD,DETACHED,No,8800.0,44124,70,45288.0,0.0
71201056,3,1,1532,123900,1,1949,C+ / AVERAGE+,GOOD,ATTACHED,No,8800.0,44124,71,196249.99999999997,189200.0
71201058,2,1,924,102800,0,1942,C+ / AVERAGE+,GOOD,DETACHED,No,8850.0,44124,78,125660.0,0.0
71201060,3,1,1144,111400,1,1941,C+ / AVERAGE+,GOOD,ATTACHED,No,8850.0,44124,79,179780.0,130468.0
71201062,3,2,1434,121300,0,1955,C+ / AVERAGE+,GOOD,DETACHED,No,8900.0,44124,65,0.0,0.0
71201064,2,1,1326,107100,0,1948,C+ / AVERAGE+,AVERAGE,DETACHED,No,8900.0,44124,72,55106.0,40334.14
71201066,4,1,2336,200300,1,1967,B+ / GOOD+,GOOD,ATTACHED,No,13510.0,44124,53,220640.00000000003,298299.99999999994
71201068,2,1,2114,187700,1,1965,B+ / GOOD+,GOOD,ATTACHED,,10575.0,44124,55,198830.0,0.0
71201070,3,1,2387,202400,2,1950,B+ / GOOD+,GOOD,ATTACHED,No,38255.0,44124,70,294140.0,237300.0
71202002,2,1,1380,119000,0,1950,C+ / AVERAGE+,GOOD,ATTACHED,No,8950.0,44124,70,0.0,0.0
71202004,3,2,1326,117900,0,1949,C+ / AVERAGE+,GOOD,DETACHED,No,8950.0,44124,71,0.0,150230.0
71202006,4,1,1305,117500,0,1948,C+ / AVERAGE+,AVERAGE,ATTACHED,No,12600.0,44124,72,111760.0,0.0
71202008,3,1,1252,114600,0,1952,C+ / AVERAGE+,FAIR,ATTACHED,No,9000.0,44124,68,84460.0,0.0
71202010,3,1,1240,109900,0,1942,C / AVERAGE,GOOD,ATTACHED,No,9000.0,44124,78,0.0,0.0
71202012,3,1,1233,124600,0,1950,C+ / AVERAGE+,GOOD,ATTACHED,No,9050.0,44124,70,224750.0,186829.99999999997
71202014,3,1,1238,115600,0,1941,B / GOOD,GOOD,ATTACHED,No,9100.0,44124,79,138060.0,224750.0
71202016,4,2,1230,114700,0,1949,C+ / AVERAGE+,GOOD,ATTACHED,No,9100.0,44124,71,120000.0,187200.0
71202018,2,1,946,104000,0,1950,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,70,0.0,0.0
71202020,4,2,1451,121700,1,1951,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,69,0.0,0.0
71202022,2,1,1288,114800,0,1941,C / AVERAGE,GOOD,ATTACHED,,8500.0,44124,79,174492.0,0.0
71202024,2,1,1077,99600,0,1945,C+ / AVERAGE+,FAIR,DETACHED,No,8500.0,44124,75,109760.0,0.0
71202026,3,1,1400,119400,1,1947,C / AVERAGE,GOOD,DETACHED,No,8500.0,44124,73,95449.99999999999,0.0
71202028,2,2,1465,121400,0,1950,C+ / AVERAGE+,AVERAGE,DETACHED,No,11900.0,44124,70,0.0,147200.0
71202030,4,1,1404,109900,1,1956,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,64,160200.0,116494.0
71202032,2,1,1316,116300,1,1960,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,60,205900.0,167660.0
71202034,3,2,1395,119400,0,1941,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,79,230740.00000000003,205900.0
71202036,4,2,1514,122600,0,1925,C / AVERAGE,GOOD,DETACHED,No,8500.0,44124,95,250200.00000000003,178400.0
71202038,3,1,1448,121600,0,1942,B / GOOD,GOOD,ATTACHED,No,8500.0,44124,78,0.0,0.0
71202040,3,1,1875,145500,0,1952,C+ / AVERAGE+,GOOD,DETACHED,No,11900.0,44124,68,0.0,200000.0
71202042,2,1,1384,119000,0,1953,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,67,0.0,160160.0
71202044,3,2,1437,120900,0,1952,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,68,150000.0,0.0
71202046,3,2,1580,125000,0,1953,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,67,111440.00000000001,0.0
71202048,3,1,1496,121700,1,1941,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,79,139000.0,187650.00000000003
71202050,3,2,1448,121300,0,1941,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,79,230040.0,210826.0
71202052,3,1,1142,119200,0,1941,C / AVERAGE,GOOD,ATTACHED,No,5500.0,44124,79,229767.00000000003,154000.0
71202054,3,1,1708,127600,1,1964,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,56,0.0,125429.99999999999
71202056,3,1,1451,64600,1,1949,B / GOOD,FAIR,ATTACHED,No,8500.0,44124,71,109180.0,70364.95000000001
71202058,3,2,1736,128000,0,1941,C / AVERAGE,GOOD,ATTACHED,No,8500.0,44124,79,159650.0,197600.0
71202060,3,1,1057,108400,0,1961,C+ / AVERAGE+,GOOD,DETACHED,,8500.0,44124,59,182490.0,0.0
71202062,2,1,888,110500,0,1953,C+ / AVERAGE+,GOOD,ATTACHED,No,11900.0,44124,67,124250.0,69000.0
71202064,3,1,1260,114500,0,1949,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,71,0.0,139100.0
71202066,3,1,1312,117600,0,1941,B / GOOD,GOOD,DETACHED,,8500.0,44124,79,0.0,0.0
71202068,3,1,1494,122000,0,1950,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,70,0.0,0.0
71202070,4,2,2144,198000,1,1968,B / GOOD,GOOD,ATTACHED,No,14775.0,44124,52,194700.0,337440.0
71202072,4,2,2395,206000,1,1968,B / GOOD,GOOD,ATTACHED,No,15000.0,44124,52,228920.0,347500.00000000006
71202074,4,2,2100,197100,1,1966,B / GOOD,GOOD,ATTACHED,No,14550.0,44124,54,0.0,252700.0
71202076,4,2,2168,199200,0,1969,B / GOOD,FAIR,ATTACHED,No,14925.0,44124,51,224000.0,149350.0
71202078,5,2,2416,206300,1,1968,B / GOOD,GOOD,ATTACHED,No,14850.0,44124,52,139700.0,177800.0
71202080,3,2,2112,197200,1,1968,B / GOOD,GOOD,ATTACHED,No,14700.0,44124,52,203000.0,305625.0
71203002,4,1,1338,107600,0,1953,C+ / AVERAGE+,AVERAGE,DETACHED,No,9150.0,44124,67,177450.0,190440.99999999997
71203004,3,1,1189,103300,1,1950,C+ / AVERAGE+,AVERAGE,ATTACHED,No,9150.0,44124,70,0.0,0.0
71203006,3,1,1180,120000,0,1951,C+ / AVERAGE+,AVERAGE,ATTACHED,No,9200.0,44124,69,132500.0,0.0
71203008,3,1,1168,103100,1,1951,C+ / AVERAGE+,AVERAGE,DETACHED,No,9200.0,44124,69,149500.0,0.0
71203010,3,1,1840,120700,1,1969,C+ / AVERAGE+,AVERAGE,ATTACHED,No,9200.0,44124,51,0.0,0.0
