parcel,bedrooms,bathrooms,living_area,total_value,half_baths,purchase_date,construction_quality,condition_score,garage_type,finished_basement,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71205034,4,2,2356,206200,1,1970,B+ / GOOD+,GOOD,ATTACHED,No,13090,44124,50,222995,0
71205036,5,3,2511,207000,0,1973,B+ / GOOD+,GOOD,ATTACHED,No,13200,44124,47,371490,303875
71205038,3,2,2556,206900,1,1973,B+ / GOOD+,GOOD,ATTACHED,,12450,44124,47,0,0
71205040,4,2,2772,192500,0,1972,B+ / GOOD+,GOOD,ATTACHED,,6750,44124,48,183490,121000
71205042,4,2,2168,195400,0,1973,B+ / GOOD+,GOOD,ATTACHED,No,12300,44124,47,319500,290500
71205044,4,2,2168,195300,0,1971,B+ / GOOD+,GOOD,ATTACHED,No,12300,44124,49,287040,217300
71205046,4,1,1886,186900,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,12225,44124,49,0,0
71205048,4,2,2364,187000,0,1970,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,50,253400,206790
71205050,4,2,2264,197600,0,1970,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,50,275900,251900
71205052,4,3,2168,192000,0,1971,C+ / AVERAGE+,GOOD,ATTACHED,No,12000,44124,49,217830,126440
71205054,4,2,2316,199200,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,49,170688,0
71205056,4,2,2128,193600,1,1972,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,48,186000,0
71206002,3,2,1896,188800,0,1969,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,51,162400,0
71206004,4,2,1872,185300,1,1968,B / GOOD,GOOD,ATTACHED,No,12150,44124,52,266000,246960
71206006,4,2,2487,193100,1,1966,B / GOOD,GOOD,ATTACHED,No,12880,44124,54,254800,0
71206008,4,2,2319,198300,1,1966,B / GOOD,GOOD,ATTACHED,No,12150,44124,54,220000,247000
71206010,4,2,2156,193700,1,1967,B / GOOD,GOOD,ATTACHED,No,12225,44124,53,247000,0
71206012,5,1,3081,216300,3,1970,B / GOOD,GOOD,ATTACHED,,11250,44124,50,0,317520
71206014,4,2,2196,193800,1,1973,A / VERY-GOOD,GOOD,ATTACHED,No,11250,44124,47,202000,256060
71206016,4,1,2060,187700,1,1969,B / GOOD,GOOD,ATTACHED,No,11250,44124,51,232140,219710
71206018,4,2,2241,193200,1,1970,B / GOOD,GOOD,ATTACHED,No,11250,44124,50,0,319000
71206020,3,1,2461,165000,1,1973,B+ / GOOD+,GOOD,ATTACHED,No,11850,44124,47,0,0
71206022,4,2,2124,175000,1,1969,B / GOOD,GOOD,ATTACHED,No,10500,44124,51,190750,0
71206024,3,2,2400,219000,1,1969,B / GOOD,GOOD,ATTACHED,No,11550,44124,51,0,220800
71206026,4,2,2100,191200,1,1966,B / GOOD,GOOD,ATTACHED,No,11775,44124,54,0,0
71206028,3,2,2628,205300,0,1969,B / GOOD,AVERAGE,ATTACHED,No,11700,44124,51,228660,0
71206030,4,2,2432,200300,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,11625,44124,49,206500,277680
71206032,3,2,2246,195100,1,1967,B / GOOD,GOOD,ATTACHED,No,11625,44124,53,0,0
71206034,3,1,3281,216000,2,1975,A / VERY-GOOD,VERY-GOOD,ATTACHED,No,11850,44124,45,0,267600
71206036,3,2,2165,173500,1,1967,B / GOOD,AVERAGE,ATTACHED,No,12000,44124,53,194320,204600
71206038,3,1,2656,211700,2,1970,B / GOOD,GOOD,ATTACHED,No,12865,44124,50,193520,340400
71206040,5,2,2426,172000,1,1970,B / GOOD,FAIR,ATTACHED,No,11100,44124,50,0,187480
71206042,4,2,2428,210200,1,1966,B / GOOD,GOOD,ATTACHED,No,19096,44124,54,0,0
71206044,3,2,2240,190500,1,1970,B / GOOD,GOOD,ATTACHED,No,10500,44124,50,0,0
71206046,3,2,2275,172300,1,1968,B / GOOD,GOOD,ATTACHED,No,10500,44124,52,278250,0
71206048,4,2,2278,197200,1,1970,B / GOOD,GOOD,ATTACHED,No,12225,44124,50,0,351840
71206050,4,2,2578,205300,1,1970,B / GOOD,GOOD,ATTACHED,No,12150,44124,50,0,0
71206052,3,2,2240,196100,0,1970,B / GOOD,GOOD,ATTACHED,No,12075,44124,50,210120,226800
71206054,4,2,2904,200000,1,1969,B / GOOD,GOOD,ATTACHED,No,13524,44124,51,217500,218000
71206056,4,2,2220,203700,0,1969,B / GOOD,GOOD,ATTACHED,No,13590,44124,51,0,230280
71206058,4,2,2100,130000,1,1969,B+ / GOOD+,GOOD,ATTACHED,No,12104,44124,51,126100,0
71206060,3,2,2992,215500,1,1970,B / GOOD,GOOD,ATTACHED,,12000,44124,50,0,0
71206062,3,3,2706,207100,0,1970,C+ / AVERAGE+,GOOD,ATTACHED,,12000,44124,50,0,242525
71206064,4,2,2220,193500,1,1970,C+ / AVERAGE+,GOOD,ATTACHED,No,12000,44124,50,287180,196394
71206066,4,2,2168,194900,0,1971,B+ / GOOD+,GOOD,ATTACHED,No,12000,44124,49,0,0
71207002,3,1,1554,136900,0,1945,C+ / AVERAGE+,AVERAGE,ATTACHED,No,15000,44124,75,133900,0
71207008,2,2,1800,130000,0,1954,C+ / AVERAGE+,GOOD,NONE,No,21900,44124,66,156870,0
71207010,5,2,2846,192900,0,1927,B / GOOD,GOOD,ATTACHED,No,19982,44124,93,257397,349280
71207012,3,2,2082,168300,2,1936,C / AVERAGE,GOOD,DETACHED,No,33319,44124,84,261000,0
71207014,3,1,1691,121900,1,1956,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500,44124,64,103600,202960
71207016,3,1,1397,105000,1,1956,C / AVERAGE,AVERAGE,ATTACHED,No,8500,44124,64,114450,179300
71207018,2,1,1767,100000,1,1956,C+ / AVERAGE+,AVERAGE,ATTACHED,No,13380,44124,64,0,0
71207020,3,2,2574,165500,0,1956,C+ / AVERAGE+,GOOD,ATTACHED,No,13380,44124,64,330150,172633
71207024,4,1,3424,140000,1,1941,B / GOOD,GOOD,ATTACHED,,30200,44124,79,148400,141600
71207026,3,2,2497,168600,1,2008,B / GOOD,GOOD,ATTACHED,,15000,44124,12,74800,0
71207028,3,2,2048,154600,1,1970,C+ / AVERAGE+,GOOD,ATTACHED,No,14925,44124,50,0,0
71207030,4,2,2462,275200,1,1993,B / GOOD,GOOD,ATTACHED,,11777,44124,27,0,402500
71207032,4,2,2438,208100,1,1991,B+ / GOOD+,GOOD,ATTACHED,,12320,44124,29,380360,0
71207034,4,4,3503,323600,1,1993,B+ / GOOD+,VERY-GOOD,ATTACHED,No,7513,44124,27,106720,0
71207036,3,2,2762,303300,1,1995,B / GOOD,GOOD,ATTACHED,,7170,44124,25,293440,0
71207038,4,2,2514,280300,1,1991,B+ / GOOD+,GOOD,ATTACHED,,7182,44124,29,348100,434000
71207040,4,2,3233,258300,1,1993,B / GOOD,GOOD,ATTACHED,,6051,44124,27,530010,530010
71209002,3,3,2746,215000,0,1933,B / GOOD,GOOD,ATTACHED,No,46284,44124,87,0,0
71209004,3,1,2328,155000,1,1969,B / GOOD,AVERAGE,ATTACHED,No,11625,44124,51,192610,168950
71209006,3,1,1850,141300,1,1950,B / GOOD,GOOD,ATTACHED,No,56200,44124,70,0,0
71209008,4,2,2129,145500,0,1952,B+ / GOOD+,AVERAGE,ATTACHED,No,46084,44124,68,229350,0
71209010,3,1,1906,130000,1,1956,B+ / GOOD+,AVERAGE,ATTACHED,No,23056,44124,64,102350,0
71209012,4,2,1810,135200,1,1959,C+ / AVERAGE+,AVERAGE,ATTACHED,No,15750,44124,61,215050,0
71209014,4,2,1990,141200,1,1958,C+ / AVERAGE+,GOOD,ATTACHED,,8250,44124,62,167745,127095
71209018,3,2,2388,172300,1,1953,C+ / AVERAGE+,GOOD,ATTACHED,,52000,44124,67,0,189840
71209020,4,2,2270,170300,1,1959,B / GOOD,VERY-GOOD,BUILT-IN,,7405,44124,61,308070,295030
71209022,4,2,2130,130800,1,1958,C+ / AVERAGE+,GOOD,ATTACHED,,8250,44124,62,185400,270040
71209024,4,2,1850,169000,1,1958,B / GOOD,AVERAGE,ATTACHED,,8250,44124,62,201040,0
71209026,4,2,1950,140500,1,1958,C+ / AVERAGE+,GOOD,ATTACHED,No,8250,44124,62,117500,0
71209028,4,2,2090,160300,1,1959,B / GOOD,AVERAGE,ATTACHED,No,8250,44124,61,151000,0
71209030,3,2,1976,190200,1,2011,C+ / AVERAGE+,AVERAGE,ATTACHED,,14260,44124,9,0,230828
