71201026,3,1,"1,465",121600,1,1927,C / AVERAGE,5108 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",12/6/01,35000,5/6/02,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201027,5,1,"1,866",133000,0,1941,C+ / AVERAGE+,5100 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",11/5/13,0,1/1/75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201028,3,1,"1,211",114000,1,1950,C+ / AVERAGE+,5092 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",5/10/19,135000,9/28/10,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201029,2,1,"1,056",107500,1,1936,C / AVERAGE,5093 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",4/21/10,128500,8/27/99,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201030,3,1,"1,275",115400,0,1926,C+ / AVERAGE+,5097 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",1/22/19,127000,7/1/09,119900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201031,3,2,"1,548",125900,0,1941,C / AVERAGE,5103 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"7,500",2/19/19,155250,5/14/14,135900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201032,3,1,"1,144",110700,0,1948,C+ / AVERAGE+,5107 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",9/19/08,0,10/16/79,56500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201033,3,1,"1,368",118300,0,1946,C+ / AVERAGE+,5111 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",11/12/09,0,5/27/03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201034,3,1,"1,892",133900,0,1925,C+ / AVERAGE+,5119 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",5/15/12,130000,6/3/05,153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201035,2,1,870,101000,0,1949,C+ / AVERAGE+,5123 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",9/22/09,0,7/18/84,60300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201036,3,1,"1,301",115700,0,1947,C / AVERAGE,5127 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",2/11/19,103000,5/12/10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201037,2,2,805,98100,0,1950,C+ / AVERAGE+,5131 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",2/19/03,151000,8/27/93,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201038,3,1,"1,368",118700,0,1950,C+ / AVERAGE+,5139 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",9/18/84,66500,1/1/75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201039,4,1,"1,308",106400,1,1948,C+ / AVERAGE+,5143 LYND AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,"8,500",11/14/17,0,9/10/85,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201040,3,1,"1,114",109400,0,1950,C+ / AVERAGE+,5147 LYND AVE,"LYNDHURST, OH. 44124",GOOD,NONE,No,"8,500",6/1/18,150000,5/4/05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201041,2,1,"1,087",110000,0,1950,C+ / AVERAGE+,5148 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",6/27/03,162000,4/18/97,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201042,4,1,"1,661",127000,0,1951,C+ / AVERAGE+,5144 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",6/18/90,90000,9/30/86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201043,4,2,"1,943",134200,1,1951,C / AVERAGE,5140 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",7/6/15,130000,8/13/92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201044,3,2,"1,296",118000,0,1953,C+ / AVERAGE+,5132 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",3/28/07,157710,8/26/97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201045,2,1,955,103900,0,1952,C+ / AVERAGE+,5128 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,"8,500",12/11/09,0,7/27/90,83900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201046,3,2,"1,675",128100,0,1941,C+ / AVERAGE+,5124 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",7/1/16,139000,8/8/13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201047,2,1,"1,036",107000,0,1938,C+ / AVERAGE+,5116 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,"8,500",8/28/17,112000,10/21/05,134500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201048,2,1,"1,010",107000,0,1949,C+ / AVERAGE+,5112 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",5/9/12,112000,5/7/04,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201049,3,1,"1,295",115900,0,1953,C+ / AVERAGE+,5108 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",10/16/02,134000,11/19/97,96000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201050,2,1,"1,485",122200,0,1950,C+ / AVERAGE+,5104 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",8/24/93,0,8/29/90,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201051,2,1,"1,339",117200,0,1950,C+ / AVERAGE+,5100 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"8,500",8/17/18,119900,4/28/04,144500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201052,3,1,"1,472",121700,2,1941,C+ / AVERAGE+,5092 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",11/25/19,139900,7/25/13,104500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201053,3,1,"1,824",132800,1,1941,C+ / AVERAGE+,5091 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,800",3/5/85,50000,1/1/75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201054,3,1,"1,301",116400,0,1941,C+ / AVERAGE+,5099 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,800",6/2/17,133000,5/16/07,154500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201055,4,1,"1,485",122800,0,1950,C+ / AVERAGE+,5103 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,800",7/19/19,45288,11/14/94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201056,3,1,"1,532",123900,1,1949,C+ / AVERAGE+,5107 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,800",4/25/00,125000,2/24/95,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201058,2,1,924,102800,0,1942,C+ / AVERAGE+,5115 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,850",6/11/18,122000,4/14/14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201060,3,1,"1,144",111400,1,1941,C+ / AVERAGE+,5127 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,850",6/23/93,101000,7/12/88,67600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201062,3,2,"1,434",121300,0,1955,C+ / AVERAGE+,5139 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,900",12/4/15,0,12/4/15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201064,2,1,"1,326",107100,0,1948,C+ / AVERAGE+,5147 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"8,900",3/20/13,46700,12/10/12,33334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201066,4,1,"2,336",200300,1,1967,B+ / GOOD+,5139 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"13,510",12/1/15,197000,5/25/00,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201068,2,1,"2,114",187700,1,1965,B+ / GOOD+,5123 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,"10,575",8/13/13,168500,5/19/10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71201070,3,1,"2,387",202400,2,1950,B+ / GOOD+,907 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"38,255",9/19/01,191000,5/31/94,135600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202002,2,1,"1,380",119000,0,1950,C+ / AVERAGE+,5159 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,950",4/17/15,0,8/12/08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202004,3,2,"1,326",117900,0,1949,C+ / AVERAGE+,5167 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,950",3/5/10,0,5/15/92,83000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202006,4,1,"1,305",117500,0,1948,C+ / AVERAGE+,5179 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,"12,600",3/26/10,88000,1/1/75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202008,3,1,"1,252",114600,0,1952,C+ / AVERAGE+,5191 CASE AVE,"LYNDHURST, OH. 44124",FAIR,ATTACHED,No,"9,000",7/9/18,82000,3/20/15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202010,3,1,"1,240",109900,0,1942,C / AVERAGE,5203 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"9,000",1/17/17,0,12/1/16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
