Parcel,Bedrooms,Bathrooms,Living_area,Total_Value,Half_Baths,Purchase_Date,Construction_Quality,Address1,Address2,Condition_Score,Garage_Type,Finished_Basement,Total_Land,First_Sale_Date,First_Sale_Price,Second_Sale_Date,Second_Sale_Price
71220057,3,1,1656,124200,1,1958,C+ / AVERAGE+,1092 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,11680,5/25/2016,117925,4/22/1992,0
71220058,2,1,1196,105300,0,1958,C+ / AVERAGE+,1096 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,10/22/1992,86500,8/21/1992,0
71220059,2,1,1434,112600,1,1958,C+ / AVERAGE+,1100 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,9600,1/24/2013,97000,3/5/2007,118000
71220060,3,2,1596,130500,0,1958,C+ / AVERAGE+,1108 HAVERSTON RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,9600,1/23/2001,0,1/11/2001,0
71220061,3,1,1596,129100,1,1958,C+ / AVERAGE+,1112 HAVERSTON RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,9600,6/22/2004,0,6/22/2004,0
71220062,3,1,1956,124800,1,1957,C+ / AVERAGE+,1120 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,9/28/2017,0,11/29/2006,0
71220063,3,1,1320,108800,1,1958,C+ / AVERAGE+,1124 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,12/16/2016,0,12/16/2016,0
71220064,3,1,1964,138800,0,1957,C+ / AVERAGE+,1132 HAVERSTON RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,2/10/1978,56500,1/1/1975,0
71220065,3,1,1424,112500,0,1957,C+ / AVERAGE+,1136 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,7/18/2008,120000,7/24/1979,62500
71220066,3,1,1404,112000,0,1957,C+ / AVERAGE+,1144 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,7/19/2004,170200,7/20/2000,0
71220067,3,1,1424,112300,0,1957,C+ / AVERAGE+,1148 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,9600,10/29/2013,125000,1/28/2003,0
71220068,4,2,1979,98600,0,1957,C / AVERAGE,1156 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,6/30/2016,86600,11/22/2013,0
71220069,3,1,2288,147800,0,1957,C+ / AVERAGE+,1160 HAVERSTON RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,10/30/1981,0,10/31/1978,60000
71220070,3,2,1641,117500,0,1957,C+ / AVERAGE+,1168 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,5/31/2012,104000,12/7/2011,0
71220071,3,2,1424,112400,0,1957,C+ / AVERAGE+,1174 HAVERSTON RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,4/16/2018,145000,6/16/2006,125900
71220072,3,2,1952,124800,0,1956,C+ / AVERAGE+,1173 BLANCHESTER RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,12/20/1993,115000,10/13/1981,0
71220073,3,1,1178,115900,0,1956,C+ / AVERAGE+,1167 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,4/18/2002,0,12/14/1992,0
71220074,3,1,1444,125000,0,1956,C+ / AVERAGE+,1159 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,8/23/2005,0,9/6/2001,0
71220075,3,1,1178,115500,0,1956,C+ / AVERAGE+,1155 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,5/17/1984,70000,1/1/1975,0
71220076,3,1,1178,115600,0,1960,C+ / AVERAGE+,1147 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,7/24/2002,135000,1/1/1975,0
71220077,3,1,1288,119200,0,1956,C+ / AVERAGE+,1143 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,9600,10/2/2006,0,6/30/1989,88500
71220078,3,1,1178,115800,0,1956,C+ / AVERAGE+,1135 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,6/6/2013,0,2/6/2013,70400
71220079,2,2,1766,134400,0,1956,C+ / AVERAGE+,1131 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,9/19/2014,81200,9/19/2014,0
71220080,3,2,1844,148600,0,1956,C+ / AVERAGE+,1123 BLANCHESTER RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,2/25/2013,77800,1/9/2013,0
71220081,3,1,1288,107500,1,1956,C+ / AVERAGE+,1119 BLANCHESTER RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,9/10/2018,0,3/28/1985,0
71220083,2,1,1178,105000,0,1956,C+ / AVERAGE+,1107 BLANCHESTER RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,12/21/2018,157000,9/29/2017,75000
71220084,3,1,1178,116600,0,1956,C+ / AVERAGE+,1099 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9600,6/1/1989,0,2/12/1986,0
71220085,3,1,1276,107700,1,1956,C+ / AVERAGE+,1095 BLANCHESTER RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,4/4/2011,0,7/30/1999,122000
71220086,3,1,1380,128700,2,1956,C+ / AVERAGE+,1091 BLANCHESTER RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,11680,1/29/2015,0,5/21/2003,0
71221002,4,2,2352,156600,0,1956,B / GOOD,5573 MAYFIELD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,5/14/2007,0,2/1/2005,192000
71221003,4,2,1940,139700,0,1954,B / GOOD,5579 MAYFIELD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8500,1/9/2018,0,9/11/1991,111500
71221004,5,2,2428,159200,0,1954,B / GOOD,5587 MAYFIELD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,7/11/2019,0,5/12/2014,0
71221005,4,2,2494,160300,0,1954,B / GOOD,5589 MAYFIELD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,9/21/1983,117000,1/1/1975,0
71221006,4,2,2514,170900,0,1955,B / GOOD,5593 MAYFIELD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8250,6/12/2017,0,1/21/2000,151500
71221007,5,3,3575,187600,0,1953,B / GOOD,5599 MAYFIELD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,7750,12/21/2016,200000,5/12/2014,0
71221018,4,1,1176,115900,1,1950,C / AVERAGE,1371 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7599,3/10/2016,89000,4/14/1993,0
71221019,4,1,1524,135500,1,1950,B / GOOD,1377 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,10132,2/19/2016,109000,10/1/2014,0
71221020,3,1,1217,113200,1,1952,C+ / AVERAGE+,1383 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6705,8/18/1987,86650,8/15/1979,65000
71221021,3,1,1528,170000,1,1951,B / GOOD,1387 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6705,3/15/2017,170000,7/30/2007,163000
71221022,3,1,1176,115500,1,1950,C / AVERAGE,1391 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7450,5/24/2019,107000,8/12/1980,0
71221023,3,1,1404,138700,1,1950,B / GOOD,1395 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7956,9/6/1991,113000,8/19/1985,0
71221024,3,1,1176,116400,1,1950,B / GOOD,1399 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8500,11/19/2009,130000,6/30/2003,145000
71221025,3,1,1776,147000,1,1951,B / GOOD,1403 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9450,6/2/2017,147000,8/10/2016,0
71221026,3,1,1432,123700,1,1950,B / GOOD,1407 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8874,7/3/2014,0,1/1/1975,0
71221027,3,1,1584,124300,1,1950,B / GOOD,1411 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7350,12/31/1990,27600,5/20/1987,82000
71221028,4,1,1550,120200,1,1952,B / GOOD,1415 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,6500,3/19/1985,0,1/1/1975,0
71221029,3,1,1410,120900,0,1949,B / GOOD,1408 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,5980,7/11/2017,130000,8/20/2013,0
71221030,3,1,1322,115200,1,1952,B / GOOD,1402 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6630,2/19/1997,0,6/20/1986,86500
71221031,3,1,1305,115300,1,1952,B / GOOD,1398 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6580,6/9/2009,128500,1/1/1975,0
71221032,4,1,1735,119500,1,1952,B / GOOD,1392 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,6721,7/17/2014,0,10/24/1994,0
71221034,4,2,2210,145300,1,1952,C+ / AVERAGE+,1378 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8640,5/20/1985,85000,1/1/1975,0
71221036,3,1,1696,134300,1,1951,B / GOOD,1376 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8845,9/10/2019,0,7/2/1990,110000
71221037,3,1,1368,115000,1,1949,B / GOOD,1373 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7500,10/2/2018,0,7/12/2002,0
71221038,3,1,1662,121900,1,1949,B / GOOD,1377 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7500,2/8/2010,0,1/25/2010,0
71221039,3,1,1560,119500,1,1948,B / GOOD,1383 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7500,12/23/2014,0,9/26/2011,0
