39701038,3,1,"1,209","$127,100 ",1,1961,C / AVERAGE,18294 CAROL DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"15,136",8/28/2014,"$113,000 ",7/10/2003,"$122,000 "
39701039,4,2,"1,710","$139,000 ",0,1961,C / AVERAGE,18302 CAROL DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"14,608",9/26/2018,$0 ,3/8/1993,$0 
39701040,3,1,"1,510","$171,900 ",2,1952,C / AVERAGE,18254 SHURMER RD,"STRONGSVILLE, OH. 44136",AVERAGE,BASEMENT,N/A,"28,320",10/12/2016,$0 ,11/6/2015,$0 
39701042,5,2,"1,586","$150,000 ",1,1963,C+ / AVERAGE+,18492 SHURMER RD,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"18,100",8/6/2008,"$147,000 ",4/30/2008,$0 
39701043,3,1,"1,066","$133,800 ",1,1963,C+ / AVERAGE+,18536 SHURMER RD,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"16,900",6/16/2016,$0 ,10/21/2015,"$122,500 "
39701044,3,1,"1,066","$131,100 ",0,1963,C+ / AVERAGE+,18586 SHURMER RD,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"15,700",5/15/2017,"$118,100 ",6/7/2010,"$144,900 "
39701045,3,1,"1,066","$130,300 ",0,1963,C+ / AVERAGE+,18630 SHURMER RD,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"14,600",10/23/2018,$0 ,10/13/1978,"$69,000 "
39701046,3,1,"1,582","$125,200 ",1,1958,C / AVERAGE,18495 CAROL DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"15,552",3/3/1999,$0 ,3/30/1985,$0 
39701048,3,1,"1,344","$141,300 ",1,1956,C / AVERAGE,18498 CAROL DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"17,112",2/26/1988,$0 ,6/3/1985,"$64,000 "
39701049,4,2,"2,590","$193,500 ",1,1976,B+ / GOOD+,17999 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,963",10/28/1993,"$155,000 ",12/4/1984,$0 
39701050,5,2,"2,912","$223,500 ",1,1975,B+ / GOOD+,17126 PARTRIDGE DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"13,680",6/30/1986,"$113,000 ",2/17/1981,$0 
39701051,3,1,"2,128","$167,500 ",1,1975,B / GOOD,17122 PARTRIDGE DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"13,090",7/25/2019,"$235,000 ",5/6/2015,"$162,500 "
39701052,5,2,"3,204","$216,100 ",1,1975,B+ / GOOD+,17116 PARTRIDGE DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"13,090",1/31/2003,"$211,000 ",5/4/2001,"$195,000 "
39701053,5,2,"3,008","$175,900 ",1,1976,B+ / GOOD+,18142 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"13,224",10/28/2015,"$165,000 ",12/20/2013,$0 
39701054,3,2,"1,790","$171,300 ",1,1976,B+ / GOOD+,18147 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"12,580",11/5/2018,"$210,000 ",1/21/2014,$0 
39701055,4,2,"2,440","$195,400 ",1,1976,B+ / GOOD+,18171 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,728",7/12/2017,$0 ,4/2/1985,$0 
39701056,4,2,"2,360","$186,100 ",1,1975,B / GOOD,18158 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,720",9/13/2007,"$211,500 ",3/10/2004,$0 
39701057,4,2,"2,608","$192,400 ",1,1975,B+ / GOOD+,18190 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,720",7/21/2003,$0 ,9/13/1979,$0 
